DATE, EXUSUK
1/1/1971,2.4058
2/1/1971,2.4178
3/1/1971,2.4187
4/1/1971,2.4179
5/1/1971,2.4187
6/1/1971,2.4188
7/1/1971,2.4185
8/1/1971,2.4346
9/1/1971,2.4694
10/1/1971,2.4896
11/1/1971,2.4933
12/1/1971,2.5266
1/1/1972,2.5705
2/1/1972,2.6037
3/1/1972,2.6181
4/1/1972,2.6102
5/1/1972,2.6124
6/1/1972,2.5691
7/1/1972,2.4447
8/1/1972,2.4502
9/1/1972,2.441
10/1/1972,2.3948
11/1/1972,2.3515
12/1/1972,2.3449
1/1/1973,2.3563
2/1/1973,2.4272
3/1/1973,2.4724
4/1/1973,2.4837
5/1/1973,2.5306
6/1/1973,2.5762
7/1/1973,2.5375
8/1/1973,2.4757
9/1/1973,2.4183
10/1/1973,2.4292
11/1/1973,2.387
12/1/1973,2.3174
1/1/1974,2.224
2/1/1974,2.2749
3/1/1974,2.3406
4/1/1974,2.3886
5/1/1974,2.4137
6/1/1974,2.3902
7/1/1974,2.3896
8/1/1974,2.3456
9/1/1974,2.3165
10/1/1974,2.333
11/1/1974,2.3252
12/1/1974,2.3294
1/1/1975,2.3623
2/1/1975,2.3958
3/1/1975,2.418
4/1/1975,2.3707
5/1/1975,2.3205
6/1/1975,2.2803
7/1/1975,2.1845
8/1/1975,2.1143
9/1/1975,2.0834
10/1/1975,2.0568
11/1/1975,2.0484
12/1/1975,2.0221
1/1/1976,2.0286
2/1/1976,2.0262
3/1/1976,1.9428
4/1/1976,1.8463
5/1/1976,1.8079
6/1/1976,1.764
7/1/1976,1.785
8/1/1976,1.7828
9/1/1976,1.7272
10/1/1976,1.6377
11/1/1976,1.6381
12/1/1976,1.6784
1/1/1977,1.7124
2/1/1977,1.7103
3/1/1977,1.7174
4/1/1977,1.719
5/1/1977,1.7185
6/1/1977,1.7191
7/1/1977,1.7226
8/1/1977,1.7397
9/1/1977,1.7431
10/1/1977,1.7711
11/1/1977,1.8178
