DATE,INDPRO
1/1/1948,14.7601
2/1/1948,14.7878
3/1/1948,14.6217
4/1/1948,14.6494
5/1/1948,14.8986
6/1/1948,15.0924
7/1/1948,15.0924
8/1/1948,15.037
9/1/1948,14.9263
10/1/1948,15.0371
11/1/1948,14.8432
12/1/1948,14.7047
1/1/1949,14.5663
2/1/1949,14.4278
3/1/1949,14.1509
4/1/1949,14.0678
5/1/1949,13.874
6/1/1949,13.8463
7/1/1949,13.8186
8/1/1949,13.957
9/1/1949,14.0955
10/1/1949,13.5694
11/1/1949,13.9294
12/1/1949,14.1786
1/1/1950,14.4278
2/1/1950,14.4832
3/1/1950,14.954
4/1/1950,15.4524
5/1/1950,15.8124
6/1/1950,16.2832
7/1/1950,16.8094
8/1/1950,17.3355
9/1/1950,17.2248
10/1/1950,17.3355
11/1/1950,17.3078
12/1/1950,17.6125
1/1/1951,17.6678
2/1/1951,17.7786
3/1/1951,17.8617
4/1/1951,17.8894
5/1/1951,17.834
6/1/1951,17.7509
7/1/1951,17.474
8/1/1951,17.3078
9/1/1951,17.4186
10/1/1951,17.3909
11/1/1951,17.5294
12/1/1951,17.6402
1/1/1952,17.834
2/1/1952,17.9448
3/1/1952,18.0002
4/1/1952,17.834
5/1/1952,17.6678
6/1/1952,17.5017
7/1/1952,17.2248
8/1/1952,18.3325
9/1/1952,18.9971
10/1/1952,19.191
11/1/1952,19.5786
12/1/1952,19.6894
1/1/1953,19.7448
2/1/1953,19.8556
3/1/1953,20.0217
4/1/1953,20.1048
5/1/1953,20.2156
6/1/1953,20.1325
7/1/1953,20.3817
8/1/1953,20.2709
9/1/1953,19.8556
10/1/1953,19.6894
11/1/1953,19.2186
12/1/1953,18.7479
1/1/1954,18.6094
2/1/1954,18.6648
3/1/1954,18.554
4/1/1954,18.4432
5/1/1954,18.554
6/1/1954,18.6094
7/1/1954,18.6371
8/1/1954,18.6094
9/1/1954,18.6371
10/1/1954,18.8586
11/1/1954,19.1632
12/1/1954,19.4125
1/1/1955,19.8556
2/1/1955,20.1048
3/1/1955,20.5756
4/1/1955,20.8248
5/1/1955,21.1571
6/1/1955,21.1848
7/1/1955,21.351
8/1/1955,21.3233
9/1/1955,21.4617
10/1/1955,21.8217
11/1/1955,21.8771
12/1/1955,21.9602
1/1/1956,22.0987
2/1/1956,21.9048
3/1/1956,21.9048
4/1/1956,22.071
5/1/1956,21.8771
6/1/1956,21.6833
7/1/1956,21.0186
8/1/1956,21.8771
9/1/1956,22.3756
10/1/1956,22.5694
11/1/1956,22.3756
12/1/1956,22.7079
1/1/1957,22.6248
2/1/1957,22.8464
3/1/1957,22.8187
4/1/1957,22.5141
5/1/1957,22.431
6/1/1957,22.4864
7/1/1957,22.6248
8/1/1957,22.6248
9/1/1957,22.431
10/1/1957,22.0987
11/1/1957,21.5725
12/1/1957,21.1571
1/1/1958,20.7694
2/1/1958,20.3263
3/1/1958,20.0771
4/1/1958,19.7448
5/1/1958,19.9386
6/1/1958,20.4648
7/1/1958,20.7694
8/1/1958,21.1848
9/1/1958,21.3787
10/1/1958,21.6279
11/1/1958,22.2648
12/1/1958,22.2925
1/1/1959,22.6248
2/1/1959,23.0679
3/1/1959,23.4002
4/1/1959,23.8987
5/1/1959,24.2587
6/1/1959,24.2864
7/1/1959,23.7048
8/1/1959,22.9017
9/1/1959,22.8741
10/1/1959,22.7079
11/1/1959,22.8464
12/1/1959,24.2587
1/1/1960,24.8956
2/1/1960,24.6741
3/1/1960,24.4525
4/1/1960,24.2587
5/1/1960,24.231
6/1/1960,23.9264
7/1/1960,23.8433
8/1/1960,23.8156
9/1/1960,23.5664
10/1/1960,23.5387
11/1/1960,23.2064
12/1/1960,22.7633
1/1/1961,22.791
2/1/1961,22.7633
3/1/1961,22.9018
4/1/1961,23.3725
5/1/1961,23.7325
6/1/1961,24.0648
7/1/1961,24.3418
8/1/1961,24.5633
9/1/1961,24.5356
10/1/1961,25.0064
11/1/1961,25.3941
12/1/1961,25.6156
1/1/1962,25.3941
2/1/1962,25.8095
3/1/1962,25.9479
4/1/1962,26.0033
5/1/1962,25.9756
6/1/1962,25.9202
7/1/1962,26.1695
8/1/1962,26.1972
9/1/1962,26.3633
10/1/1962,26.391
11/1/1962,26.5018
12/1/1962,26.5018
1/1/1963,26.6956
2/1/1963,27.0003
3/1/1963,27.1664
4/1/1963,27.4156
5/1/1963,27.748
6/1/1963,27.831
7/1/1963,27.7203
8/1/1963,27.7756
9/1/1963,28.0526
10/1/1963,28.2464
11/1/1963,28.3849
12/1/1963,28.3295
1/1/1964,28.5787
2/1/1964,28.7726
3/1/1964,28.7726
4/1/1964,29.2434
5/1/1964,29.4095
6/1/1964,29.4926
7/1/1964,29.6864
8/1/1964,29.8803
9/1/1964,29.991
10/1/1964,29.5757
11/1/1964,30.4895
12/1/1964,30.8495
1/1/1965,31.1818
2/1/1965,31.3757
3/1/1965,31.7911
4/1/1965,31.9295
5/1/1965,32.1788
6/1/1965,32.428
7/1/1965,32.7326
8/1/1965,32.8711
9/1/1965,32.9542
10/1/1965,33.2865
11/1/1965,33.4249
12/1/1965,33.8403
1/1/1966,34.1726
2/1/1966,34.3942
3/1/1966,34.8649
4/1/1966,34.9203
5/1/1966,35.2526
6/1/1966,35.4188
7/1/1966,35.6126
8/1/1966,35.6403
9/1/1966,35.9726
10/1/1966,36.2218
11/1/1966,35.9726
12/1/1966,36.0557
1/1/1967,36.2258
2/1/1967,35.8149
3/1/1967,35.613
4/1/1967,35.9489
5/1/1967,35.6353
6/1/1967,35.6308
7/1/1967,35.5497
8/1/1967,36.2308
9/1/1967,36.172
10/1/1967,36.4666
11/1/1967,36.9881
12/1/1967,37.3865
1/1/1968,37.3462
2/1/1968,37.4801
3/1/1968,37.597
4/1/1968,37.6515
5/1/1968,38.0738
6/1/1968,38.2137
7/1/1968,38.1551
8/1/1968,38.2615
9/1/1968,38.4065
10/1/1968,38.4827
11/1/1968,38.9805
12/1/1968,39.1036
1/1/1969,39.3402
2/1/1969,39.5919
3/1/1969,39.9024
4/1/1969,39.7555
5/1/1969,39.6053
6/1/1969,39.9922
7/1/1969,40.2033
8/1/1969,40.2957
9/1/1969,40.2867
10/1/1969,40.2985
11/1/1969,39.9186
12/1/1969,39.8115
1/1/1970,39.0743
2/1/1970,39.0485
3/1/1970,38.9978
4/1/1970,38.8975
5/1/1970,38.8522
6/1/1970,38.7265
7/1/1970,38.8216
8/1/1970,38.7524
9/1/1970,38.4852
10/1/1970,37.7154
11/1/1970,37.487
12/1/1970,38.3479
1/1/1971,38.6429
2/1/1971,38.5692
3/1/1971,38.5274
4/1/1971,38.7438
5/1/1971,38.9404
6/1/1971,39.1037
7/1/1971,38.9902
8/1/1971,38.7639
9/1/1971,39.3939
10/1/1971,39.6888
11/1/1971,39.8572
12/1/1971,40.3174
1/1/1972,41.2866
2/1/1972,41.68
3/1/1972,41.9758
4/1/1972,42.4207
5/1/1972,42.3956
6/1/1972,42.5178
7/1/1972,42.5004
8/1/1972,43.0644
9/1/1972,43.3948
10/1/1972,43.9709
11/1/1972,44.4866
12/1/1972,45
1/1/1973,45.2914
2/1/1973,45.9647
3/1/1973,45.9868
4/1/1973,45.9274
5/1/1973,46.2184
6/1/1973,46.2516
7/1/1973,46.4427
8/1/1973,46.3634
9/1/1973,46.7782
10/1/1973,47.0944
11/1/1973,47.3422
12/1/1973,47.2312
1/1/1974,46.9002
2/1/1974,46.7547
3/1/1974,46.768
4/1/1974,46.6012
5/1/1974,46.9779
6/1/1974,46.9246
7/1/1974,46.9465
8/1/1974,46.4902
9/1/1974,46.5124
10/1/1974,46.3395
11/1/1974,44.8159
12/1/1974,43.2364
1/1/1975,42.6437
2/1/1975,41.6572
3/1/1975,41.213
4/1/1975,41.2483
5/1/1975,41.154
6/1/1975,41.4216
7/1/1975,41.8198
8/1/1975,42.2548
9/1/1975,42.7754
10/1/1975,42.97
11/1/1975,43.0627
12/1/1975,43.5959
1/1/1976,44.2338
2/1/1976,44.6687
3/1/1976,44.7103
4/1/1976,44.9525
5/1/1976,45.1731
6/1/1976,45.1831
7/1/1976,45.4519
8/1/1976,45.7737
9/1/1976,45.9055
10/1/1976,45.922
11/1/1976,46.6016
12/1/1976,47.0857
1/1/1977,46.8261
2/1/1977,47.5387
3/1/1977,48.1302
4/1/1977,48.578
5/1/1977,48.9881
6/1/1977,49.3428
7/1/1977,49.4131
8/1/1977,49.4274
9/1/1977,49.6665
10/1/1977,49.7589
11/1/1977,49.8149
12/1/1977,49.8936
1/1/1978,49.2047
2/1/1978,49.4519
3/1/1978,50.392
4/1/1978,51.4438
5/1/1978,51.6239
6/1/1978,51.9809
7/1/1978,51.9572
8/1/1978,52.1531
9/1/1978,52.2862
10/1/1978,52.7031
11/1/1978,53.1001
12/1/1978,53.3889
1/1/1979,53.0435
2/1/1979,53.3331
3/1/1979,53.4972
4/1/1979,52.8947
5/1/1979,53.3176
6/1/1979,53.3158
7/1/1979,53.2432
8/1/1979,52.8891
9/1/1979,52.9468
10/1/1979,53.2382
11/1/1979,53.1886
12/1/1979,53.2612
1/1/1980,53.5021
2/1/1980,53.5079
3/1/1980,53.3284
4/1/1980,52.2375
5/1/1980,50.9676
6/1/1980,50.3335
7/1/1980,49.9417
8/1/1980,50.1226
9/1/1980,50.9338
10/1/1980,51.5801
11/1/1980,52.4731
12/1/1980,52.7676
1/1/1981,52.4688
2/1/1981,52.2219
3/1/1981,52.5009
4/1/1981,52.2665
5/1/1981,52.5783
