fire,serv,trade,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11
48.3,220.6,215.2,1,0,0,0,0,0,0,0,0,0,0
48.4,222.3,214.5,0,1,0,0,0,0,0,0,0,0,0
48.9,223.7,216,0,0,1,0,0,0,0,0,0,0,0
48.9,228.6,218.8,0,0,0,1,0,0,0,0,0,0,0
49.5,231.6,222.9,0,0,0,0,1,0,0,0,0,0,0
50.3,234.6,223.9,0,0,0,0,0,1,0,0,0,0,0
50.6,234.4,223.9,0,0,0,0,0,0,1,0,0,0,0
50.9,235,225,0,0,0,0,0,0,0,1,0,0,0
50.8,234.4,225.2,0,0,0,0,0,0,0,0,1,0,0
50.7,233.4,225.3,0,0,0,0,0,0,0,0,0,1,0
51.1,230.7,228.3,0,0,0,0,0,0,0,0,0,0,1
51.6,230.8,232.3,0,0,0,0,0,0,0,0,0,0,0
51,225.1,223.1,1,0,0,0,0,0,0,0,0,0,0
51.8,228.1,223.4,0,1,0,0,0,0,0,0,0,0,0
52.5,232.2,225.9,0,0,1,0,0,0,0,0,0,0,0
52.1,236.4,227.4,0,0,0,1,0,0,0,0,0,0,0
52.5,238.3,231.4,0,0,0,0,1,0,0,0,0,0,0
53.4,241.9,233.1,0,0,0,0,0,1,0,0,0,0,0
53.3,241.3,231,0,0,0,0,0,0,1,0,0,0,0
53.3,242.7,233.3,0,0,0,0,0,0,0,1,0,0,0
53,242,235.2,0,0,0,0,0,0,0,0,1,0,0
52.7,241.1,236.6,0,0,0,0,0,0,0,0,0,1,0
53,238.5,242.4,0,0,0,0,0,0,0,0,0,0,1
53.3,239.1,249.1,0,0,0,0,0,0,0,0,0,0,0
52.8,231,234.3,1,0,0,0,0,0,0,0,0,0,0
53,234,232.5,0,1,0,0,0,0,0,0,0,0,0
53.9,237.8,235.3,0,0,1,0,0,0,0,0,0,0,0
53.8,244.9,237.2,0,0,0,1,0,0,0,0,0,0,0
54.3,248.1,240.4,0,0,0,0,1,0,0,0,0,0,0
55.3,253.2,243.2,0,0,0,0,0,1,0,0,0,0,0
54.8,250.8,241.3,0,0,0,0,0,0,1,0,0,0,0
55.1,253.5,242.4,0,0,0,0,0,0,0,1,0,0,0
54.8,252.1,242.1,0,0,0,0,0,0,0,0,1,0,0
54.9,250.4,241.3,0,0,0,0,0,0,0,0,0,1,0
55.2,249.8,245.7,0,0,0,0,0,0,0,0,0,0,1
55.7,249.7,252.1,0,0,0,0,0,0,0,0,0,0,0
55.3,243.1,242,1,0,0,0,0,0,0,0,0,0,0
55.9,247.6,241.1,0,1,0,0,0,0,0,0,0,0,0
56.1,250.4,242.6,0,0,1,0,0,0,0,0,0,0,0
56.2,255,243.6,0,0,0,1,0,0,0,0,0,0,0
56.7,259.4,246.4,0,0,0,0,1,0,0,0,0,0,0
